,GQQ,LDA,serie
35,0.6859818795263091,0.9887009453845956,[0.18033499 0.07357161 0.07357161 ... 2.65576181 2.65576181 6.50966786]
36,0.6372689978176163,0.9743136868047333,[1.16469553 2.68065394 1.16469553 ... 0.09552727 0.21986481 0.50603909]
37,0.8159461427560898,0.9949666284709656,[0.08466372 0.25737401 0.25737401 ... 0.25737401 0.02785031 0.08466372]
38,0.6041313470233363,0.9456553812023666,[0.54810757 0.24780634 0.24780634 ... 0.05065305 0.11203637 0.24780634]
39,0.8860636053421744,0.9987397449793275,[0.01117741 0.00306281 0.00083927 ... 0.04079077 0.14886159 0.54325461]
40,0.7116562695269183,0.9893165866857868,[0.16025719 0.4072032  0.4072032  ... 0.06307015 0.02482162 0.00976869]
41,0.8195240636622678,0.9985625487541561,[0.25198373 0.77185011 0.08226442 ... 2.36425023 0.77185011 0.25198373]
42,0.8075339124673008,0.9936801415246058,[0.0101227  0.00338806 0.0101227  ... 0.26998097 0.26998097 0.09036237]
43,0.7805936966232053,0.9884493009978449,[0.30972771 0.87910949 0.87910949 ... 0.87910949 0.10912321 0.30972771]
44,0.6460309845642513,0.984689645142767,[2.67839444 1.15110932 1.15110932 ... 0.2126183  1.15110932 0.49471902]
45,0.8085044358080009,0.997204443403866,[0.02996391 0.08970087 0.26853126 ... 0.80388338 2.40652982 0.80388338]
46,0.7357174452784603,0.995945840298523,[0.98472558 2.59375413 0.98472558 ... 0.14193453 0.37385366 0.98472558]
47,0.9037264232885919,0.9991521748774748,[0.03104871 0.12078134 0.46984658 ... 0.00798155 0.00798155 0.03104871]
48,0.5614688756899096,0.9555896203501901,[1.26547911 0.60058173 1.26547911 ... 0.13527152 0.0641983  0.03046777]
49,0.5501560027913318,0.9531925968767649,[1.2781244  2.65978771 0.6141851  ... 0.6141851  2.65978771 1.2781244 ]
50,0.5623660885632391,0.9478250771528106,[0.59949732 0.28423171 0.59949732 ... 2.66696115 0.59949732 1.26445089]
51,0.6112869438228814,0.9652946437574434,[0.24170114 0.10836036 0.24170114 ... 0.10836036 0.04858053 0.0217798 ]
52,0.5589218777101668,0.9420246809817341,[2.66506518 1.26837761 2.66506518 ... 0.60365569 0.13673219 0.2872963 ]
53,0.7258888236096894,0.9890655275932481,[0.14936004 0.38756137 0.14936004 ... 0.38756137 0.38756137 1.00564925]
54,0.8835870500843882,0.998927236533844,[0.15278417 0.04220783 0.01166025 ... 2.00193043 2.00193043 0.55304907]
55,0.740130878123965,0.9935391796768024,[0.97508738 0.36765969 0.36765969 ... 0.36765969 0.13862721 0.05226982]
56,0.5811402411480797,0.971625559183467,[0.2676902  0.57661839 0.2676902  ... 0.2676902  0.05769264 0.1242729 ]
57,0.8818257541136202,0.998984238835826,[0.01200868 0.0432227  0.00333641 ... 0.15557092 0.01200868 0.0432227 ]
58,0.8423151761201453,0.9978204825170169,[0.21725698 0.06734651 0.06734651 ... 7.29373088 0.70086182 2.26095057]
59,0.6370565230527931,0.9580148754734519,[1.16501969 0.50631256 0.50631256 ... 0.04155995 0.04155995 0.09562899]
60,0.6676984547019542,0.974513069163797,[0.1949542  0.08149676 0.08149676 ... 0.46636381 0.1949542  0.08149676]
61,0.848449890187728,0.990446895958898,[0.20779659 0.06344632 0.68056619 ... 0.06344632 0.20779659 0.06344632]
62,0.5536069981584043,0.9507819809786883,[2.66194211 1.27432937 1.27432937 ... 0.29204371 0.13980765 0.29204371]
63,0.6939836810341782,0.9836285794796037,[0.17402035 0.43125688 0.07022052 ... 0.07022052 0.17402035 0.07022052]
64,0.8728174750665051,0.9990798518765217,[0.59432925 0.16978159 0.04850138 ... 0.04850138 0.00395805 0.01385535]
65,0.771176088530237,0.9917459805105716,[0.32339828 0.115854   0.115854   ... 0.04150346 0.32339828 0.115854  ]
66,0.7487029360444329,0.9947787237791715,[0.13225224 0.04919183 0.35556012 ... 0.35556012 0.04919183 0.13225224]
67,0.7986485089864568,0.9884573709850042,[0.01119316 0.00381278 0.00381278 ... 0.83137704 0.09646623 0.2831957 ]
68,0.7511385428513392,0.9892157258393246,[0.13045277 0.0483319  0.35210544 ... 2.56514293 0.95036876 0.35210544]
69,0.880106386234315,0.9976302292318211,[0.15828887 0.5666203  0.15828887 ... 0.01235284 0.01235284 0.00345084]
70,0.8743910102315822,0.9982032390792641,[0.16730476 0.58842693 0.16730476 ... 0.01352508 0.04756901 0.16730476]
71,0.7089228155428722,0.9873030180142035,[0.41094774 1.04008604 2.63240033 ... 0.1623693  0.1623693  0.06415363]
72,0.6181648055009175,0.963228284861621,[0.10488522 0.2358701  0.2358701  ... 0.04663969 0.10488522 0.2358701 ]
73,0.8610209313855142,0.998246203105563,[0.01643291 0.00485493 0.00485493 ... 0.63724945 0.63724945 2.15695538]
74,0.8359617569278255,0.9972576039858772,[2.29210125 0.72133081 7.28338242 ... 0.07143908 0.72133081 0.22700487]
75,0.6223251965881943,0.9615714999203359,[0.10281056 0.04548969 0.23236062 ... 0.23236062 0.10281056 0.04548969]
76,0.8988055850164103,0.9990349837768442,[0.03369494 0.12861784 0.00882731 ... 0.00060584 0.00882731 0.00231255]
77,0.6168395257219058,0.9745070933500053,[0.53211209 1.19474356 0.53211209 ... 0.0470098  0.10555043 0.0470098 ]
78,0.842045525067467,0.9988504478922665,[0.02094361 0.06751911 0.00649645 ... 0.70174177 0.06751911 0.21767173]
79,0.8537677535028535,0.9980115463598049,[0.01810489 0.06010812 0.19955858 ... 0.19955858 0.19955858 0.66253316]
80,0.718148531785213,0.9840809463345956,[0.15526543 0.39827372 0.15526543 ... 0.15526543 0.39827372 0.15526543]
81,0.8706434135671413,0.9988467917367272,[0.17319965 0.60241384 0.17319965 ... 0.01431697 0.17319965 0.04979653]
82,0.6405397862880894,0.9668989887530794,[0.09396804 0.04066258 0.09396804 ... 0.09396804 0.01759583 0.04066258]
83,0.8151623875841518,0.9941430325069807,[0.00924885 0.00304743 0.00924885 ... 0.78469781 0.08519127 0.25855252]
84,0.8037717350839569,0.9914759047198286,[0.09293639 0.03134078 0.03134078 ... 0.8172177  2.42333658 7.18604135]
85,0.8657847029436764,0.9968497021196058,[2.12718558 0.62019324 0.62019324 ... 0.18082092 0.05271938 0.01537064]
86,0.5628847668694759,0.9530885818345425,[0.28377101 0.1344632  0.59887005 ... 0.1344632  0.28377101 0.59887005]
87,0.9048332465884293,0.9993767597244196,[0.03046127 0.0077962  0.00199535 ... 0.46502671 0.11901809 0.03046127]
88,0.8281373928432735,0.9967520602599217,[0.07655054 0.23893861 0.02452507 ... 0.07655054 0.02452507 0.07655054]
89,0.7401696916280938,0.9946836834696017,[0.1385982  0.0522557  0.36760511 ... 0.97500193 0.36760511 0.1385982 ]
90,0.8517902636857426,0.9980568185067803,"[7.30211009e+00 2.21070398e+00 2.21070398e+00 ... 6.13447274e-02
 1.85720334e-02 5.62265807e-03]"
91,0.8542841200959095,0.9986799984550677,[7.30275226 2.19667134 2.19667134 ... 0.05978616 0.19875685 0.66075978]
92,0.7654445358708336,0.9929542720086176,[0.11999185 0.33166209 0.11999185 ... 0.91672678 0.91672678 2.53386807]
93,0.7105519192528512,0.987306351860362,[0.0635069  0.02503341 0.16110977 ... 1.0368687  1.0368687  2.63041763]
94,0.576895521956689,0.9388873808103879,[2.67382348 1.24727343 1.24727343 ... 0.27140606 0.58182263 1.24727343]
95,0.6162217208571897,0.9693731965280065,[0.23751375 0.53289364 0.23751375 ... 0.10586124 0.04718296 0.10586124]
96,0.7323366438782095,0.9857498163798991,[0.00803051 0.02104251 0.05513809 ... 0.37858214 0.99200604 2.59937245]
97,0.852846130687394,0.9967336075930397,"[ 0.20098872  0.66568839  0.06068375 ... 24.18626889  7.3024666
  2.20480549]"
98,0.8913370657558719,0.9992000044199708,[0.14049457 0.03781335 0.14049457 ... 0.03781335 0.14049457 0.52200405]
99,0.5758458383027407,0.9554626514789254,[2.67339045 5.72426266 1.24854796 ... 0.58310675 0.27232713 0.12718437]
100,0.6084362370109426,0.9769162815958005,[0.24412865 0.10981741 0.5427081  ... 0.5427081  1.20646258 0.5427081 ]
101,0.8685341044552453,0.9973355138572084,[0.17651131 0.05106067 0.01477068 ... 0.17651131 0.17651131 0.05106067]
102,0.6376271174068837,0.9760904858188162,[0.09535595 0.21956747 0.04141213 ... 0.09535595 0.01798487 0.04141213]
103,0.645472660064499,0.9390674499499548,[0.03941218 0.01695025 0.03941218 ... 0.21307829 0.21307829 0.09163995]
104,0.5647421135356918,0.9541859083579223,[0.282123   0.59662162 0.59662162 ... 1.26170981 1.26170981 2.66820978]
105,0.8466749608174325,0.9971441053781602,[0.00186257 0.00057123 0.00186257 ... 0.06456942 0.0198026  0.06456942]
106,0.6292326156522383,0.9668349396442147,[1.17678365 2.68194661 2.68194661 ... 0.09941138 0.51634874 0.22656333]
107,0.8367716796102945,0.9974141461158608,[0.00069031 0.0021977  0.00699665 ... 0.02227473 0.07091442 0.02227473]
108,0.6198566893615391,0.9533681553976415,[0.10403904 0.23444131 0.10403904 ... 0.04616986 0.020489   0.04616986]
109,0.784171791240974,0.9933677412914997,[0.03731038 0.10658866 0.10658866 ... 0.03731038 0.10658866 0.03731038]
110,0.7855235386884384,0.9957685331902795,[0.10563446 0.03688494 0.10563446 ... 0.86640024 0.10563446 0.30252556]
111,0.6120262246534254,0.950731655146317,[0.04836952 0.02166625 0.009705   ... 0.10798411 0.04836952 0.02166625]
112,0.6098032914071776,0.95999358477873,[0.10911746 0.24296376 0.10911746 ... 0.24296376 0.54098939 0.24296376]
113,0.5531847484405825,0.9472012261936472,[0.06707778 0.14005359 0.29242184 ... 0.06707778 0.03212648 0.01538677]
114,0.7553633162742889,0.994813762043058,[0.94061635 0.34609526 0.12734408 ... 0.01724031 0.04685564 0.12734408]
115,0.8493426170632705,0.9968712908150841,[0.67756792 0.20641604 2.22414057 ... 0.01915687 0.06288312 0.20641604]
116,0.5510168108296913,0.9446830432013641,[1.27718288 0.61315455 0.29436544 ... 0.14132002 0.06784542 0.14132002]
117,0.5956762361957753,0.9339341961373958,[5.86940711 2.67985338 1.22356722 ... 0.01108482 0.02427794 0.05317347]
118,0.7440466210595802,0.9877144395863572,[0.05085384 0.13570707 0.05085384 ... 0.36214395 0.13570707 0.05085384]
119,0.5937554474399045,0.9659034741783327,[0.11747766 0.2567293  0.05375702 ... 0.05375702 0.11747766 0.2567293 ]
120,0.7174400965797025,0.9872630993315672,[0.15580843 0.06080459 0.02372913 ... 0.15580843 0.06080459 0.15580843]
121,0.8729602469965518,0.9982939516807954,[0.04841661 0.01382525 0.16955696 ... 2.07949628 2.07949628 0.59379548]
122,0.9052394961247267,0.9994188380342012,[0.46325077 0.11837088 0.46325077 ... 0.03024639 0.03024639 0.11837088]
123,0.8082752809098198,0.9972551251376978,[0.26887367 0.80453475 0.26887367 ... 0.80453475 0.80453475 0.26887367]
124,0.9048596506723466,0.9987745593065931,[0.4649114  0.11897602 0.11897602 ... 0.00051029 0.0077918  0.00199401]
125,0.5732840257414251,0.9186765139404153,[0.12860594 0.27457865 0.12860594 ... 1.25163645 0.586236   1.25163645]
126,0.8352249217143944,0.9974844257934683,[0.07191713 0.22813205 0.72366952 ... 0.00225305 0.00714701 0.0226714 ]
127,0.5538859973090271,0.9573182150515775,[2.66211195 1.27402017 5.56258074 ... 0.29179395 0.60971417 1.27402017]
128,0.6187587270030324,0.9721642286153077,[0.10458778 0.23536829 0.10458778 ... 0.52968165 0.10458778 0.23536829]
129,0.723680408681076,0.9891381490466461,"[3.37610683e-03 8.73142214e-03 2.25815522e-02 ... 1.74757341e+01
 6.75719765e+00 1.74757341e+01]"
130,0.8287926060485068,0.9975638576335112,[0.23794231 0.74378433 0.07611957 ... 0.02435123 0.07611957 0.23794231]
131,0.8878748274117583,0.9992951010136728,[0.53601715 0.14598997 0.03976192 ... 0.14598997 0.53601715 0.14598997]
132,0.9035895283211623,0.9996525885239379,"[2.05881847e-03 5.29537010e-04 2.05881847e-03 ... 1.82905491e+00
 1.20999414e-01 4.70440828e-01]"
133,0.7405959185264543,0.9923039711548841,[0.01963044 0.05210078 0.05210078 ... 0.36700563 0.36700563 0.97406286]
134,0.8988938362654575,0.9992707940812446,[0.49057665 0.12847736 0.49057665 ... 0.49057665 7.1526578  1.87321299]
135,0.76139076616935,0.9803658812416638,[0.01631354 0.04478323 0.04478323 ... 0.01631354 0.04478323 0.12293701]
136,0.7363935604583015,0.9889278318282032,[0.98325896 0.37290634 0.37290634 ... 0.14142677 0.37290634 0.14142677]
137,0.6894101670626662,0.988857021776529,[0.43742224 0.17762327 1.07721367 ... 0.17762327 0.17762327 0.43742224]
138,0.6642753637691872,0.9858491953165447,[0.19772049 0.47087811 0.08302232 ... 0.08302232 0.47087811 0.19772049]
